date,spy_close,sma_200,pct_above_sma,trend_score,fed_assets,tga,rrp,net_liquidity,liq_slope_20d,liq_slope_pct,liquidity_score,vix,hy_spread,vix_score,spread_score,risk_appetite_score,score,category
2018-04-01,263.15,265.04774999999995,-0.7160030598260027,46.42608995485378,4392.198,318.858,17.898,4055.442,-2.7057272727272212,-0.0667184310052325,0.12644622286789087,19.97,3.72,25.075000000000003,32.8,57.875,41.7,bear
2018-04-02,257.47,265.08465,-2.8725352448736596,36.019749858844506,4392.198,318.858,17.898,4055.442,-2.947375757575719,-0.07267705363745108,0.06972246901778334,19.97,3.72,25.075000000000003,32.8,57.875,37.6,bear
2018-04-03,260.77,265.14255,-1.6491317595007087,41.82828750155451,4392.198,318.858,3.823,4069.5170000000003,-2.1302060606060076,-0.052345427248639276,0.5301010397957029,23.62,3.77,15.949999999999998,32.300000000000004,48.25,36.1,bear
2018-04-04,263.56,265.2144,-0.6237971995487461,46.885053278673816,4392.198,318.858,8.695,4064.645,-1.5205878787878342,-0.03741010294350021,2.318005129357118,21.1,3.71,22.249999999999996,32.9,55.14999999999999,41.3,bear
2018-04-05,265.64,265.29665,0.12942115929469394,50.64706966917307,4386.104,303.916,4.57,4077.618,-0.08610303030299926,-0.0021116011922401577,44.74052522805583,20.06,3.71,24.850000000000005,32.9,57.75,52.3,neutral
2018-04-06,259.72,265.34665,-2.1204903095629746,39.55365369742421,4386.104,303.916,4.645,4077.543,1.6062242424242674,0.039391963307910366,98.09077576014442,18.94,3.59,27.65,34.1,61.75,60.1,bull
2018-04-07,259.72,265.3954,-2.1384696192925605,39.46771354934778,4386.104,303.916,4.895,4077.293,3.0541212121212222,0.07490561046560112,99.9441981934342,21.49,3.64,21.275000000000006,33.599999999999994,54.875,57.7,neutral
2018-04-08,259.72,265.44370000000004,-2.1562764533496206,39.38266196189397,4386.104,303.916,4.895,4077.293,3.16228484848486,0.07755844008475378,99.9571950686015,21.49,3.64,21.275000000000006,33.599999999999994,54.875,57.7,neutral
2018-04-09,261.0,265.50175,-1.695563211918571,41.602504292885726,4386.104,303.916,4.895,4077.293,3.00558787878789,0.0737152782198358,99.93714886875003,21.49,3.64,21.275000000000006,33.599999999999994,54.875,58.6,neutral
2018-04-10,265.15,265.58029999999997,-0.16202255965521103,49.18995808268799,4386.104,303.916,4.07,4078.118,2.629030303030303,0.06446675410153171,99.84167252331157,21.77,3.61,20.575,33.900000000000006,54.47500000000001,61.4,bull
2018-04-11,263.76,265.6519,-0.7121725837458798,46.44514500397854,4386.104,303.916,3.99,4078.1980000000003,1.9819757575757677,0.04859930188715132,99.23085913195608,20.47,3.52,23.825000000000003,34.8,58.625,61.9,bull
2018-04-12,265.93,265.73435,0.0736261608632834,50.36812415256824,4383.684,294.083,2.361,4087.2400000000002,1.5522909090909212,0.037978951788760165,97.80736353062737,20.24,3.5,24.400000000000006,35.0,59.400000000000006,63.5,bull
2018-04-13,265.15,265.81545,-0.2503428600557346,48.74854712376055,4383.684,294.083,4.12,4085.481,1.579563636363665,0.03866285601043463,97.94933374792123,18.49,3.42,28.775000000000006,35.8,64.575,64.9,bull
2018-04-14,265.15,265.8958,-0.28048581436789566,48.59793858682787,4383.684,294.083,3.471,4086.13,1.123933333333353,0.02750605911543081,93.99475603147289,17.41,3.38,31.474999999999998,36.199999999999996,67.675,65.3,bull
2018-04-15,265.15,265.9713,-0.3087927156050326,48.45652697310134,4383.684,294.083,3.471,4086.13,1.272745454545461,0.03114794327506616,95.74988883297968,17.41,3.38,31.474999999999998,36.199999999999996,67.675,65.6,bull
2018-04-16,267.33,266.0562,0.4787710265725792,52.39202772992202,4383.684,294.083,3.471,4086.13,1.3133818181818215,0.03214243839970391,96.1366793630378,17.41,3.38,31.474999999999998,36.199999999999996,67.675,67.3,bull
2018-04-17,270.19,266.151,1.5175595808394435,57.530080863843395,4383.684,294.083,3.372,4086.2290000000003,1.2386666666666757,0.030313197490073995,95.39691605162459,16.56,3.33,33.6,36.7,70.30000000000001,70.2,bull
2018-04-18,270.39,266.2468,1.5561501584244313,57.7185469484664,4383.684,294.083,3.971,4085.63,1.0229636363636405,0.025038088039387816,92.4408400314839,15.25,3.29,36.875,37.1,73.975,71.2,bull
2018-04-19,268.89,266.3351,0.9592802450747104,54.78174272057147,4385.903,275.246,14.021,4096.636,1.3065333333333498,0.03189283434831285,96.04289962730934,15.6,3.24,36.0,37.6,73.6,70.6,bull
