trade_id,y_max,MAE,y_actual,regret,nATR,structural_stop,is_survivor,y_max_survivor
1920,6.306760847628658,-9.712411705348137,-2.648839556004029,8.955600403632687,2.3443131036471105,-4.688626207294221,False,-9.712411705348137
1921,1.1115522032552645,-2.4480614000264582,-1.0983194389307904,2.209871642186055,1.39227584642432,-2.78455169284864,True,1.1115522032552645
1922,1.8536585365853633,-4.822299651567936,-4.46689895470383,6.320557491289193,2.003982080637134,-4.007964161274268,False,-4.822299651567936
1923,3.5926955140928842,-4.753870583564913,-4.426359666534347,8.019055180627232,1.3634804060568262,-2.7269608121136524,False,-4.753870583564913
1924,3.3666491320357546,-10.678590215675964,-10.415570752235666,13.78221988427142,1.8298639813631872,-3.6597279627263744,False,-10.678590215675964
1925,2.580412866058577,-5.97695631301007,-5.208833413346123,7.7892462794047,1.4650915575063392,-2.9301831150126785,False,-5.97695631301007
1926,28.117612293144184,-6.7671394799054445,16.20862884160756,11.908983451536624,2.4790927895981083,-4.958185579196217,False,-6.7671394799054445
1927,1.567882171279258,-3.753414894880623,-3.1832759235063457,4.751158094785604,1.1334905740417085,-2.266981148083417,False,-3.753414894880623
1928,2.0288307528029845,-3.5771489588894907,-2.18900160170849,4.217832354511474,1.7618793379604913,-3.5237586759209827,False,-3.5771489588894907
1929,4.376930998970122,-13.233779608650876,-12.92481977342946,17.301750772399583,3.1335515668677343,-6.267103133735469,False,-13.233779608650876
1930,1.833069693868055,-5.182841723271604,-4.122080580627145,5.9551502744952,2.2597668452325546,-4.519533690465109,False,-5.182841723271604
1931,16.981943250214957,-5.503009458297511,9.952708512467744,7.029234737747213,2.309298611964133,-4.618597223928266,False,-5.503009458297511
1932,2.48719824433065,-5.267008046817854,-3.730797366495975,6.217995610826625,2.4192705611871634,-4.838541122374327,False,-5.267008046817854
1933,3.37618841832325,-8.848314606741571,-2.068928262748494,5.4451166810717435,2.2032040992715167,-4.4064081985430334,False,-8.848314606741571
1934,12.036210116099703,-6.227165705934888,6.320532597223359,5.715677518876344,2.408401860378803,-4.816803720757606,False,-6.227165705934888
1935,2.2872827081427265,-3.171698688624578,-2.21103995120464,4.498322659347366,1.4192044612904626,-2.8384089225809253,False,-3.171698688624578
1936,0.7511266900350633,-14.07110665998998,-11.967951927891841,12.719078617926904,4.292152514486014,-8.584305028972029,False,-14.07110665998998
