fold,test_year,k_sl,k_tp,min_tp,train_expectancy,train_win_rate,test_expectancy,test_risk_adj_return,test_win_rate,test_loss_rate,test_avg_days,test_risk_reward,test_trades
2,2022,1.25,2.0,0.15,0.011037621416879709,0.11575297225891677,-0.019822810765227503,-0.5633537298811986,0.06271072151045179,0.6891436277815239,8.867161159811193,2.9825790825424385,1483
2,2022,1.25,3.0,0.15,0.01171922421263363,0.10980845442536327,-0.019869983611469282,-0.562342354815892,0.05933917734322319,0.6904922454484154,8.904248145650708,3.0886362400882086,1483
2,2022,1.25,3.0,0.2,0.011992253433592247,0.06456406869220607,-0.02062973372374357,-0.5740199216962663,0.02562373567093729,0.6931894807821982,9.05664194200944,3.8607786855038007,1483
2,2022,1.25,2.0,0.2,0.011919754362970589,0.06638044914134743,-0.020644131777126748,-0.5744633172911914,0.02562373567093729,0.6931894807821982,9.055967633175994,3.8515128113111037,1483
2,2022,1.25,4.0,0.2,0.011694874967996248,0.05812417437252312,-0.020893091309728586,-0.5792775808225037,0.023600809170600135,0.6931894807821982,9.089008766014835,3.9644450203114325,1483
2,2022,1.25,4.0,0.15,0.011495466774474241,0.09379128137384413,-0.021060433340760423,-0.5896921335412919,0.045178691840863115,0.6931894807821982,9.0,3.260127842551052,1483
2,2022,1.5,2.0,0.15,0.01294174168848666,0.12219286657859973,-0.021920709784706855,-0.5675964787571196,0.0633850303438975,0.650708024275118,9.73229939312205,2.6559142077445563,1483
2,2022,1.5,3.0,0.15,0.01364160507084472,0.11608322324966974,-0.022026896344388897,-0.5681415966760743,0.06001348617666891,0.6520566419420094,9.77006068779501,2.746799464380079,1483
2,2022,1.5,3.0,0.2,0.013913704470225236,0.06803170409511229,-0.022698899351724734,-0.5762476645696053,0.026298044504383007,0.6540795684423466,9.926500337154417,3.427673826401604,1483
2,2022,1.5,2.0,0.2,0.013821098189847832,0.07001321003963012,-0.02271329740510792,-0.5766523541472358,0.026298044504383007,0.6540795684423466,9.925826028320971,3.419671230239482,1483
2,2022,1.5,4.0,0.2,0.013673760431724299,0.06159180977542933,-0.022937132989158213,-0.5803638180214117,0.024275118004045852,0.6540795684423466,9.959541469993257,3.532597560008682,1483
2,2022,1.5,4.0,0.15,0.013459084079420296,0.09907529722589167,-0.023104475020190057,-0.5898696534120335,0.045853000674308836,0.6540795684423466,9.870532703978423,2.908749435873857,1483
2,2022,2.0,2.0,0.15,0.014807081192275844,0.1284676354029062,-0.024265463482720857,-0.5359569710938834,0.0667565745111261,0.5563047875927175,11.409305461901551,2.1760373970340994,1483
2,2022,2.0,3.0,0.15,0.015500966096222677,0.12219286657859973,-0.02437165004240289,-0.5365266003326248,0.0633850303438975,0.5576534052596089,11.447066756574511,2.2473273524387833,1483
2,2022,2.0,3.0,0.2,0.015697596186721022,0.07116908850726553,-0.02504150351341731,-0.5432724095564996,0.027646662171274445,0.5590020229265004,11.615643964935941,2.806715051536927,1483
2,2022,2.0,2.0,0.2,0.015668321318412223,0.07331571994715984,-0.025055901566800494,-0.5436163314913447,0.027646662171274445,0.5590020229265004,11.614969656102495,2.8004552729874685,1483
2,2022,2.0,4.0,0.2,0.01553273873351774,0.06456406869220607,-0.02525143881851194,-0.5462097997047525,0.02562373567093729,0.5590020229265004,11.650033715441673,2.9007853662766987,1483
2,2022,2.0,4.0,0.15,0.015401819300348143,0.10419418758256274,-0.025425037993779924,-0.5544578105201294,0.049224544841537425,0.5590020229265004,11.555630478759271,2.38164920252882,1483
